"COMPLAINTNUMBER","ACCIDENTDATE","YEAR","MILITARYTIME","DAYOFWEEK","ACCIDENTTYPE","NUMINVOLVED","NUMINJURED","NUMFATALITIES","FEETFROMINTERSECTION","CITYQUADRANT","CONSTRUCTION","ONSTREET","COLLISIONTYPE","WEATHER","TRAFFICCONDITION","ROADWAYTYPE","TRAFFICCONTROL","MPDLOCATION","CRASHDURATION","LATITUDE","LONGITUDE","TAXIINVOLVED","TOURBUSINVOLVED","MILITARYHOUR","ACCIDENTDATETIME"
15035651,2015-03-13,2015,"1340","Friday","",2,0,0,0,"NW","N","At Intersection","Side Swiped","Severe Crosswind","Medium","Two-Way, Divided Unprotected","Signal","5401 CONNECTICUT AVENUE NW",1,38.961225,-77.073128,"","","13",2015-03-13 13:40:00
15034323,2015-03-12,2015,"0155","Thursday","",2,0,0,0,"NW","N","Not at Intersection","Side Swiped","Clear","Unknown","Two-Way, Divided Unprotected","None","CANAL RD NW/FOXHALL RD NW",1,38.90603,-77.07907,"","","1",2015-03-12 01:55:00
15044828,2015-03-31,2015,"1406","Tuesday","Prop. Damage",2,0,0,0,"NW","N","Within 100ft of Intersection","Rear End","Clear","Heavy","Two-Way, Not Divided","Signal","CANAL RD NW / FOXHALL RD NW",1,38.90603,-77.07907,"","","14",2015-03-31 14:06:00
15039914,2015-03-22,2015,"1135","Sunday","Injury",3,1,0,0,"NW","N","Within 100ft of Intersection","Rear End","Clear","Medium","Two-Way, Not Divided","None","4000 MASSACHUSETTS AVE NW",1,38.9315,-77.078781,"","","11",2015-03-22 11:35:00
15035493,2015-03-14,2015,"0245","Saturday","Prop. Damage",2,0,0,0,"NW","N","At Intersection","Rear End","Rain","Light","Two-Way, Not Divided","Signal","4300 WISCONSIN AVE NW",60,38.944977,-77.078438,"","","2",2015-03-14 02:45:00
15030187,2015-03-03,2015,"0850","Tuesday","",2,0,0,0,"","N","Not at Intersection","Rear End","Clear","Medium","Two-Way, Divided Positive","Signal","4100 blk Canal Road",2,38.905824,-77.077614,"","","8",2015-03-03 08:50:00
15031521,2015-03-06,2015,"1845","Friday","",2,0,0,0,"NW","N","Within 100ft of Intersection","Right Turn Hit Veh.","Clear","Unknown","Two-Way, Not Divided","Signal","ALBEMARLE ST NW / WISCONSIN AVE NW",2,38.94791,-77.079686,"","","18",2015-03-06 18:45:00
15038131,2015-03-19,2015,"0746","Thursday","Prop. Damage",2,0,0,0,"NW","N","Within 100ft of Intersection","Head On","Clear","Light","Two-Way, Not Divided","None","3923 BENTON ST NW",0,38.920914,-77.078186,"","","7",2015-03-19 07:46:00
15030961,2015-03-05,2015,"1004","Thursday","Prop. Damage",2,0,0,0,"NW","N","At Intersection","Right Angle","Snow","Light","Two-Way, Divided Unprotected","Signal","WISCONSIN AVE NW / WOODLEY RD NW",0,38.931868,-77.072654,"","","10",2015-03-05 10:04:00
15041961,2015-03-26,2015,"0850","Thursday","Injury",2,1,0,0,"NW","N","At Intersection","Right Angle","Rain","Medium","Two-Way, Not Divided","Stop Sign","37TH ST NW / VAN NESS ST NW",0,38.94317,-77.07241,"","","8",2015-03-26 08:50:00
